month,MLO,MNM,UKA00315,DENW073
1, 41.12528016, 41.41022423, 5.793337718, 15.1556106
2, 40.70579149, 40.18156245, 7.66310536, 18.42372102
3, 45.87977954, 39.50080137, 10.19504702, 24.14517776
4, 50.33209353, 36.03545781, 12.97856638, 30.35724894
5, 50.26886034, 26.07142666, 13.91099633, 33.20091292
6, 42.1584058, 14.40641821, 11.305575, 32.11246359
7, 36.64263403, 13.08834405, 9.976721132, 30.58014371
8, 34.93500307, 13.37428681, 8.19556223, 26.85414239
9, 35.00829452, 16.34997267, 6.906099569, 19.14030017
10, 34.84096254, 24.47902488, 5.992890582, 13.94709633
11, 38.39109668, 32.19163419, 4.991727382, 10.4083057
12, 39.55748117, 35.26914599, 5.59560612, 13.91122305
