local time,MLO,MNM,UKA00315,DENW073
0,40.63131767,13.04692623,8.892492143,22.47670883
1,41.03799797,13.10794297,10.26355486,20.86055098
2,40.93121951,13.18964467,11.26704509,19.32406903
3,41.26021385,13.24802831,11.23703717,17.5791623
4,41.10440816,13.44688129,10.37137156,15.88427805
5,40.21777436,13.51907164,8.609052584,14.0361295
6,38.40284528,13.6220202,7.017329837,13.76016766
7,36.22026511,13.75227964,6.48503192,15.68540904
8,34.84175975,13.93595166,6.695202661,19.65275919
9,33.47019833,14.05897177,7.438373243,24.27185191
10,32.78267081,14.12560484,8.556691198,28.92688218
11,32.63341863,14.23729839,9.555732068,33.13882699
12,32.74056295,14.31710262,10.37416498,36.92566067
13,33.10645194,14.36114458,11.3994444,39.9111103
14,34.13486708,14.29515641,11.85385937,42.27557625
15,35.68139939,14.22920082,12.26468378,44.04615237
16,37.74862104,14.010718,12.19654483,44.92838074
17,38.93364934,13.64411157,11.82976489,44.88613573
18,39.69880734,13.46951596,11.59817871,44.53171903
19,40.07531633,13.21174636,11.12655781,42.58482483
20,40.76258307,13.00899582,10.5213425,37.82290724
21,40.72357949,12.98077731,9.716100178,31.04246781
22,40.666,12.91548117,8.485864354,26.59616401
23,40.59325077,12.92430484,8.3669428,24.0871486
